Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000004696	0.3333333333333333	0.10441767068273092	0.044642857142857144	0.008849557522123894	0.05436337625178827
ENSTGUG00000004719	0.75	0.08771929824561403	0.0	0.0	0.03225806451612903
ENSTGUG00000004731	0.3333333333333333	0.058823529411764705	0.0	0.0625	0.038461538461538464
ENSTGUG00000004746	0.16666666666666666	0.0	0.0	0.0	0.0
ENSTGUG00000004760	0.14285714285714285	0.015356820234869015	0.0053533190578158455	0.001349527665317139	0.00826743350107836
ENSTGUG00000004803	0.8888888888888888	0.07142857142857142	0.0	0.0	0.023622047244094488
ENSTGUG00000004832	0.24060150375939848	0.007633587786259542	0.005154639175257732	0.0055248618784530384	0.006279434850863423
ENSTGUG00000004853	0.7368421052631579	0.06382978723404255	0.014619883040935672	0.004219409282700422	0.03293413173652695
ENSTGUG00000004856	0.08502024291497975	0.023255813953488372	0.007352941176470588	0.012307692307692308	0.013546798029556651
ENSTGUG00000004890		0.032504780114722756	0.01618705035971223	0.0	0.017955801104972375
ENSTGUG00000004895	0.896551724137931	0.033507853403141365	0.003968253968253968	0.003973509933774834	0.015409570154095702
ENSTGUG00000004934	0.16666666666666666	0.02247191011235955	0.012389380530973451	0.007352941176470588	0.015037593984962405
ENSTGUG00000004945	0.4642857142857143	0.012658227848101266	0.01567398119122257	0.0	0.009564293304994687
ENSTGUG00000004960	0.4864864864864865	0.01978021978021978	0.006535947712418301	0.0037735849056603774	0.01102629346904156
ENSTGUG00000004993	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000004997	0.625	0.03534031413612566	0.027190332326283987	0.002207505518763797	0.024481106971793506
ENSTGUG00000004998		0.3333333333333333	0.0	0.1	0.11627906976744186
ENSTGUG00000005028	0.09333333333333334	0.015655577299412915	0.004324324324324324	0.0034542314335060447	0.00870942201108472
ENSTGUG00000005062	0.7464788732394366	0.012417218543046357	0.005005005005005005	0.0035460992907801418	0.007939372067845544
ENSTGUG00000005112	0.5	0.018711018711018712	0.004347826086956522	0.003937007874015748	0.0100418410041841
ENSTGUG00000005124	0.3333333333333333	0.125	0.044444444444444446	0.0	0.05319148936170213
ENSTGUG00000005133	0.6666666666666666	0.03571428571428571	0.0	0.0	0.01694915254237288
ENSTGUG00000005144	0.6833333333333333	0.07253886010362694	0.022035676810073453	0.001669449081803005	0.03655145013905443
ENSTGUG00000005147	0.59375	0.06157354618015964	0.019157088122605363	0.012237762237762238	0.034050179211469536
ENSTGUG00000005151	0.7142857142857143	0.03424657534246575	0.028846153846153848	0.020202020202020204	0.02865329512893983
ENSTGUG00000005220	0.5	0.09615384615384616	0.03656597774244833	0.0	0.05442176870748299
ENSTGUG00000005244	0.3	0.03874538745387454	0.018465909090909092	0.0024630541871921183	0.02552415679124886
ENSTGUG00000005255	0.2463768115942029	0.06391478029294274	0.0121580547112462	0.0024096385542168677	0.03125
ENSTGUG00000005268	0.16981132075471697	0.021400778210116732	0.008710801393728223	0.0	0.0106312292358804
ENSTGUG00000005326	0.6511627906976745	0.04231974921630094	0.02986279257465698	0.005788712011577424	0.029631940112289458
ENSTGUG00000005348	0.5	0.0851063829787234	0.021739130434782608	0.0	0.04672897196261682
ENSTGUG00000005420	0.8	0.07540983606557378	0.011695906432748537	0.0	0.034526854219948847
ENSTGUG00000005437	0.5172413793103449	0.04376012965964344	0.016605166051660517	0.0048543689320388345	0.0241884150222788
ENSTGUG00000005496	1.0	0.03431372549019608	0.011494252873563218	0.0	0.01978021978021978
ENSTGUG00000005526	0.4745762711864407	0.03592814371257485	0.0045871559633027525	0.004901960784313725	0.018404907975460124
ENSTGUG00000005528	0.5333333333333333	0.06572769953051644	0.022332506203473945	0.0038314176245210726	0.03486238532110092
ENSTGUG00000005541	0.25	0.040783034257748776	0.013888888888888888	0.004807692307692308	0.021806853582554516
ENSTGUG00000005579	0.38461538461538464	0.017361111111111112	0.008	0.016129032258064516	0.013812154696132596
ENSTGUG00000005582	0.4666666666666667	0.03626943005181347	0.01676829268292683	0.007079646017699115	0.021575514300050176
ENSTGUG00000005618	0.0	0.09090909090909091	0.0	0.0	0.02631578947368421
ENSTGUG00000005646	0.6071428571428571	0.06630824372759857	0.020872865275142316	0.004672897196261682	0.03520625889046942
ENSTGUG00000005671	0.32926829268292684	0.01748971193415638	0.009433962264150943	0.002840909090909091	0.010697305863708399
ENSTGUG00000005695	0.1504424778761062	0.027777777777777776	0.005870841487279843	0.0016778523489932886	0.01153612629022465
ENSTGUG00000005733	0.5555555555555556	0.010501750291715286	0.005263157894736842	0.0	0.0062082139446036294
ENSTGUG00000005742	1.0	0.0	0.0	0.0	0.0
ENSTGUG00000005743	0.0				
ENSTGUG00000005745	0.46153846153846156	0.045098039215686274	0.010416666666666666	0.005434782608695652	0.025974025974025976
ENSTGUG00000005778	0.38461538461538464	0.0576271186440678	0.019867549668874173	0.0	0.030263157894736843
