Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000014165	1.0	0.11764705882352941	0.0	0.0	0.046511627906976744
ENSTGUG00000014181	0.4	0.10526315789473684	0.0	0.0	0.03225806451612903
ENSTGUG00000014200		0.0	0.0	0.03125	0.015151515151515152
ENSTGUG00000014220	0.6071428571428571	0.027777777777777776	0.011627906976744186	0.0	0.011235955056179775
ENSTGUG00000014223	0.0	0.04081632653061224	0.0	0.0	0.015384615384615385
ENSTGUG00000014233	0.09246088193456614	0.009259259259259259	0.005555555555555556	0.0037593984962406013	0.005597014925373134
ENSTGUG00000014245	1.0	0.0	0.0	0.0	0.0
ENSTGUG00000014271	0.25	0.02564102564102564	0.0	0.0	0.01
ENSTGUG00000014299	0.5	0.07692307692307693	0.0	0.0	0.013888888888888888
ENSTGUG00000014343	0.5833333333333334	0.06944444444444445	0.0	0.022727272727272728	0.03508771929824561
ENSTGUG00000014378	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000014402	0.7857142857142857	0.0	0.0	0.041666666666666664	0.010638297872340425
ENSTGUG00000014438	0.5384615384615384	0.0	0.0	0.0	0.0
ENSTGUG00000014488	0.8333333333333334	0.012658227848101266	0.0	0.0	0.004629629629629629
ENSTGUG00000014496		0.0	0.0	0.0	0.0
ENSTGUG00000014503	0.7142857142857143	0.08333333333333333	0.0	0.0	0.01818181818181818
ENSTGUG00000014534	0.5	0.0	0.0	0.0	0.0
ENSTGUG00000014538		0.16666666666666666	0.0	0.0	0.058823529411764705
ENSTGUG00000014549	0.8333333333333334	0.0625	0.0	0.0	0.023809523809523808
ENSTGUG00000014553	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000014555	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000014563	0.3333333333333333	0.05785123966942149	0.0	0.0	0.02702702702702703
ENSTGUG00000014577	0.5172413793103449	0.06896551724137931	0.02040816326530612	0.0	0.01764705882352941
ENSTGUG00000018253		0.1	0.0	0.05555555555555555	0.03636363636363636
ENSTGUG00000014587	1.0	0.0	0.0	0.0	0.0
ENSTGUG00000014590	1.0	0.0	0.0	0.0	0.0
ENSTGUG00000014600	0.3333333333333333	0.0	0.06666666666666667	0.0	0.02
ENSTGUG00000014602	0.14285714285714285	0.0	0.0	0.03571428571428571	0.01694915254237288
ENSTGUG00000014612	0.6666666666666666	0.056338028169014086	0.0	0.0	0.027777777777777776
ENSTGUG00000018239	0.2222222222222222	0.040229885057471264	0.00546448087431694	0.0	0.016
ENSTGUG00000014615	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000014623	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000014630	0.0	0.0	0.0625	0.0625	0.046511627906976744
ENSTGUG00000014638	0.0	0.14285714285714285	0.0	0.0	0.0196078431372549
ENSTGUG00000014657	0.2	0.0625	0.0	0.0	0.023809523809523808
ENSTGUG00000014670	0.6666666666666666	0.038834951456310676	0.023529411764705882	0.029850746268656716	0.030848329048843187
ENSTGUG00000014672	1.0	0.050505050505050504	0.01694915254237288	0.0	0.02666666666666667
ENSTGUG00000014673	0.8666666666666667	0.018072289156626505	0.006211180124223602	0.005988023952095809	0.010121457489878543
ENSTGUG00000014675	1.0	0.029411764705882353	0.02127659574468085	0.027777777777777776	0.02564102564102564
ENSTGUG00000014700		0.0	0.0	0.0	0.0
ENSTGUG00000014701	0.06521739130434782	0.012269938650306749	0.0	0.008403361344537815	0.00851063829787234
ENSTGUG00000014715	0.3333333333333333	0.0	0.0	0.0625	0.014285714285714285
ENSTGUG00000014742	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000014743	0.3	0.024390243902439025	0.0	0.0	0.011764705882352941
ENSTGUG00000014757	0.5194805194805194	0.05106382978723404	0.023391812865497075	0.01904761904761905	0.030513176144244106
ENSTGUG00000014763	1.0			0.0	0.0
ENSTGUG00000014767	0.0	0.15384615384615385	0.0	0.0	0.06060606060606061
ENSTGUG00000014794		0.0	0.0	0.0	0.0
ENSTGUG00000014802	0.06666666666666667	0.0	0.0	0.012345679012345678	0.005376344086021506
ENSTGUG00000014818		0.0	0.06666666666666667	0.0	0.03125
ENSTGUG00000014828		0.0	0.0	0.0	0.0
ENSTGUG00000014829	1.0	0.005154639175257732	0.007352941176470588	0.0	0.003616636528028933
ENSTGUG00000014840	0.5882352941176471	0.04807692307692308	0.010101010101010102	0.0	0.020761245674740483
ENSTGUG00000014845	1.0	0.011467889908256881	0.00966183574879227	0.002932551319648094	0.008130081300813009
ENSTGUG00000018275	0.0	0.037037037037037035	0.0	0.0	0.01639344262295082
ENSTGUG00000014860	0.25	0.015625	0.013333333333333334	0.021739130434782608	0.016216216216216217
ENSTGUG00000014874	0.0	0.0	0.0		0.0
ENSTGUG00000018402	0.0	0.12903225806451613	0.021052631578947368	0.04225352112676056	0.06563706563706563
ENSTGUG00000014899	1.0	0.16666666666666666	0.0	0.0	0.02702702702702703
ENSTGUG00000014933		0.0	0.09090909090909091		0.05555555555555555
ENSTGUG00000014939		0.0	0.0	0.0	0.0
ENSTGUG00000014969	1.0	0.0	0.045454545454545456	0.0	0.02
ENSTGUG00000014989	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000015009		0.004032258064516129	0.0036363636363636364	0.0	0.00273224043715847
ENSTGUG00000015012	0.0	0.0	0.034482758620689655	0.0	0.012048192771084338
ENSTGUG00000015028	1.0	0.10526315789473684	0.014925373134328358	0.0	0.05389221556886228
ENSTGUG00000015036	0.6666666666666666	0.042704626334519574	0.02120141342756184	0.010238907849829351	0.024504084014002333
ENSTGUG00000015053		0.038834951456310676	0.0	0.0	0.018518518518518517
ENSTGUG00000015067	1.0	0.09259259259259259	0.0	0.0	0.049019607843137254
ENSTGUG00000015113	0.5	0.02564102564102564	0.0	0.0	0.009950248756218905
ENSTGUG00000015132		0.0	0.018867924528301886	0.0	0.008333333333333333
ENSTGUG00000015144	0.6363636363636364	0.012711864406779662	0.004784688995215311	0.0	0.007194244604316547
ENSTGUG00000015158	0.7391304347826086	0.013888888888888888	0.008064516129032258	0.0	0.008368200836820083
ENSTGUG00000015160	0.8103448275862069	0.03288201160541586	0.014423076923076924	0.00463678516228748	0.016455696202531647
ENSTGUG00000015169		0.05263157894736842	0.0	0.0	0.01818181818181818
ENSTGUG00000015171	0.3125	0.024734982332155476	0.0205761316872428	0.0036101083032490976	0.018811136192626036
ENSTGUG00000015223	0.013745704467353952	0.0	0.0033333333333333335	0.0	0.0008598452278589854
ENSTGUG00000015230	0.8333333333333334	0.0	0.0	0.04	0.023809523809523808
ENSTGUG00000018121	0.5	0.0	0.0	0.0	0.0
ENSTGUG00000015255		0.0	0.0	0.0	0.0
ENSTGUG00000015262	0.8888888888888888	0.10344827586206896	0.10638297872340426	0.05263157894736842	0.07894736842105263
ENSTGUG00000015323	0.09090909090909091	0.0	0.0	0.0	0.0
ENSTGUG00000015326	0.14285714285714285	0.06153846153846154	0.013333333333333334	0.006493506493506494	0.02040816326530612
ENSTGUG00000015345	0.0	0.125	0.0	0.0	0.027777777777777776
ENSTGUG00000015379	0.6321243523316062	0.023015873015873017	0.02169035153328347	0.005513439007580979	0.016304347826086956
ENSTGUG00000015402	1.0	0.05263157894736842	0.0	0.0	0.024390243902439025
ENSTGUG00000015405	0.6944444444444444	0.024193548387096774	0.012048192771084338	0.0033003300330033004	0.00980392156862745
ENSTGUG00000015411	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000015419	0.3333333333333333	0.05217391304347826	0.017391304347826087	0.0	0.02867383512544803
ENSTGUG00000015436	0.5882352941176471	0.048458149779735685	0.005357142857142857	0.0	0.024307900067521943
ENSTGUG00000018327		0.022222222222222223	0.0	0.0	0.008620689655172414
ENSTGUG00000015475	0.5	0.0	0.016666666666666666	0.0	0.005235602094240838
ENSTGUG00000015490		0.07142857142857142	0.0	0.0	0.02040816326530612
ENSTGUG00000015494	0.4117647058823529	0.0	0.047619047619047616	0.0	0.010752688172043012
ENSTGUG00000015497	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000015519	0.75	0.0	0.09090909090909091	0.14285714285714285	0.07894736842105263
ENSTGUG00000015567	0.1	0.05555555555555555	0.07142857142857142	0.02120141342756184	0.031007751937984496
ENSTGUG00000018456	1.0	0.14634146341463414	0.05	0.0	0.0782608695652174
ENSTGUG00000015580		0.14285714285714285	0.0		0.09090909090909091
ENSTGUG00000015584		0.0	0.0	0.0	0.0
