Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000004696	0.2	0.09467455621301775	0.007042253521126761	0.0	0.03953488372093023
ENSTGUG00000004719	0.58	0.02557544757033248	0.014634146341463415	0.006289308176100629	0.01486697965571205
ENSTGUG00000004731	0.16666666666666666	0.03418803418803419	0.018518518518518517	0.0	0.016713091922005572
ENSTGUG00000004760	0.0	0.002793296089385475	0.0020597322348094747	0.0013440860215053765	0.002151308712800287
ENSTGUG00000004803	0.4090909090909091	0.09	0.027777777777777776	0.010638297872340425	0.045112781954887216
ENSTGUG00000004832	0.30578512396694213	0.03412073490813648	0.0	0.005235602094240838	0.017094017094017096
ENSTGUG00000004853	0.6511627906976745	0.03994490358126722	0.0	0.009389671361502348	0.019275700934579438
ENSTGUG00000004856	0.04428044280442804	0.003215434083601286	0.0	0.0	0.0009541984732824427
ENSTGUG00000004890		0.00945945945945946	0.00436046511627907	0.0	0.00510204081632653
ENSTGUG00000004895	0.6	0.0291005291005291	0.004815409309791332	0.0033783783783783786	0.0136986301369863
ENSTGUG00000004934	0.3181818181818182	0.014314928425357873	0.0019120458891013384	0.0	0.005555555555555556
ENSTGUG00000004945	0.5588235294117647	0.0087527352297593	0.00267379679144385	0.0064794816414686825	0.0061823802163833074
ENSTGUG00000004947		0.0	0.0	0.0	0.0
ENSTGUG00000004960	0.5454545454545454	0.008525149190110827	0.0017196904557179708	0.0014285714285714286	0.004281949934123847
ENSTGUG00000004993	0.8181818181818182	0.027522935779816515	0.0	0.010869565217391304	0.014134275618374558
ENSTGUG00000004997	0.6370967741935484	0.03682170542635659	0.010466222645099905	0.0	0.017889740781307048
ENSTGUG00000004998	0.6	0.0	0.0	0.0	0.0
ENSTGUG00000005028	0.1	0.005597014925373134	0.002197802197802198	0.0	0.0030686612965093976
ENSTGUG00000005059		0.0	0.02	0.0	0.007633587786259542
ENSTGUG00000005062	0.803030303030303	0.0333889816360601	0.003006012024048096	0.001639344262295082	0.015680684248039915
ENSTGUG00000005112	0.43333333333333335	0.010040160642570281	0.0020920502092050207	0.0	0.004893964110929853
ENSTGUG00000005124		0.0	0.0	0.0	0.0
ENSTGUG00000005133	1.0	0.07142857142857142	0.0273972602739726	0.0	0.03553299492385787
ENSTGUG00000005144	0.5	0.0076045627376425855	0.003121748178980229	0.0	0.004166666666666667
ENSTGUG00000005147	0.5952380952380952	0.018638573743922204	0.004024144869215292	0.010854816824966078	0.011804384485666104
ENSTGUG00000005151	0.6071428571428571	0.021739130434782608	0.0	0.008064516129032258	0.011848341232227487
ENSTGUG00000005220	0.3939393939393939	0.030927835051546393	0.00909090909090909	0.003236245954692557	0.017555266579973992
ENSTGUG00000005244	0.46875	0.03027681660899654	0.008827238335435058	0.008333333333333333	0.018937834499794155
ENSTGUG00000005255	0.16	0.019367991845056064	0.002554278416347382	0.006048387096774193	0.010619469026548672
ENSTGUG00000005268	0.14173228346456693	0.04415011037527594	0.015909090909090907	0.0022222222222222222	0.02084884586746091
ENSTGUG00000005326	0.6904761904761905	0.019837691614066726	0.0072992700729927005	0.0031397174254317113	0.011259676284306826
ENSTGUG00000005348	0.8333333333333334	0.05785123966942149	0.017391304347826087	0.0	0.0313588850174216
ENSTGUG00000005420	0.7142857142857143	0.03214285714285714	0.006211180124223602	0.0	0.015047879616963064
ENSTGUG00000005437	0.5344827586206896	0.03440621531631521	0.00846262341325811	0.0038684719535783366	0.018335684062059238
ENSTGUG00000005496	0.8181818181818182	0.04411764705882353	0.013363028953229399	0.0	0.02288135593220339
ENSTGUG00000005526	0.6923076923076923	0.01567398119122257	0.005836575875486381	0.0	0.009187279151943463
ENSTGUG00000005528	0.6511627906976745	0.045454545454545456	0.00847457627118644	0.0	0.02044989775051125
ENSTGUG00000005541	0.4	0.043227665706051875	0.014534883720930232	0.0058823529411764705	0.022727272727272728
ENSTGUG00000005579	0.47058823529411764	0.03389830508474576	0.011560693641618497	0.0	0.016260162601626018
ENSTGUG00000005582	0.5882352941176471	0.0712290502793296	0.02857142857142857	0.005504587155963303	0.03807509254362771
ENSTGUG00000005646	0.625	0.03160726294552791	0.00546448087431694	0.0	0.015113350125944584
ENSTGUG00000005671	0.36046511627906974	0.02781289506953224	0.008119079837618403	0.0050335570469798654	0.01458137347130762
ENSTGUG00000005695	0.24561403508771928	0.05011389521640091	0.018691588785046728	0.002457002457002457	0.02433281004709576
ENSTGUG00000005733	0.8333333333333334	0.004366812227074236	0.00228310502283105	0.0035335689045936395	0.0033927056827820186
ENSTGUG00000005745	0.6190476190476191	0.014858841010401188	0.0068143100511073255	0.0	0.00922266139657444
ENSTGUG00000005778	0.5185185185185185	0.018050541516245487	0.0035714285714285713	0.0	0.00821917808219178
ENSTGUG00000005782	0.5147058823529411	0.023421588594704685	0.006928406466512702	0.001488095238095238	0.011904761904761904
ENSTGUG00000005788	0.8823529411764706	0.02564102564102564	0.025	0.005780346820809248	0.01707317073170732
ENSTGUG00000005790		0.06578947368421052	0.0	0.02702702702702703	0.03076923076923077
ENSTGUG00000005826	0.7888888888888889	0.010842368640533779	0.0031620553359683794	0.0	0.0056685561853951315
ENSTGUG00000005872	0.7	0.06010016694490818	0.022189349112426034	0.0020325203252032522	0.02942840973401245
ENSTGUG00000005884		0.36363636363636365	0.13333333333333333	0.0	0.16666666666666666
ENSTGUG00000005915	0.782608695652174	0.04669260700389105	0.012944983818770227	0.005952380952380952	0.02316076294277929
ENSTGUG00000005926	0.5	0.034334763948497854	0.013937282229965157	0.039603960396039604	0.02576489533011272
ENSTGUG00000005943	0.9333333333333333	0.16216216216216217	0.018469656992084433	0.017857142857142856	0.08210332103321033
ENSTGUG00000005961	0.8833333333333333	0.054436987322893364	0.016589861751152075	0.001443001443001443	0.029496633536389868
ENSTGUG00000005983	0.5609756097560976	0.007832898172323759	0.010917030567685589	0.0036231884057971015	0.008057296329453895
ENSTGUG00000005996	0.13725490196078433	0.008620689655172414	0.00819672131147541	0.004672897196261682	0.007246376811594203
ENSTGUG00000006045	0.22916666666666666	0.01098901098901099	0.0	0.0	0.003424657534246575
ENSTGUG00000018216	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000006063	0.625	0.0297723292469352	0.00511770726714432	0.00315955766192733	0.014898255813953489
ENSTGUG00000006067	0.578125	0.038461538461538464	0.012746234067207415	0.005681818181818182	0.020185708518368994
ENSTGUG00000006075	0.7701149425287356	0.03553719008264463	0.008450704225352112	0.0	0.01916697382970881
ENSTGUG00000006139			0.0	0.0	0.0
ENSTGUG00000006169	0.06451612903225806	0.035114503816793895	0.012027491408934709	0.0021321961620469083	0.01817116060961313
ENSTGUG00000006274	0.6344086021505376	0.02849200833912439	0.009581881533101045	0.002574002574002574	0.01605231866825208
ENSTGUG00000006375	0.5373134328358209	0.03435114503816794	0.008948545861297539	0.004784688995215311	0.019491525423728815
ENSTGUG00000006431	0.2857142857142857	0.02155992390615092	0.0029784065524944155	0.001422475106685633	0.01076455975710737
ENSTGUG00000006433	0.5348837209302325	0.0258272800645682	0.004971002485501243	0.0044444444444444444	0.013812154696132596
ENSTGUG00000006438	0.32978723404255317	0.05030355594102342	0.014155712841253791	0.0027472527472527475	0.02578397212543554
ENSTGUG00000006442	0.7163120567375887	0.003401360544217687	0.0	0.0	0.001595405232929164
ENSTGUG00000006502	0.13636363636363635	0.003424657534246575	0.0035087719298245615	0.015384615384615385	0.007168458781362007
ENSTGUG00000006522	0.8068181818181818	0.007575757575757576	0.0031620553359683794	0.0	0.004507042253521127
ENSTGUG00000006619	0.49056603773584906	0.0037546933667083854	0.0025252525252525255	0.005639097744360902	0.0037682524729156855
ENSTGUG00000006635	0.48333333333333334	0.005723630417007359	0.0008305647840531562	0.0034782608695652175	0.0033311125916055963
ENSTGUG00000006646	0.6936619718309859	0.04409448818897638	0.023936170212765957	0.003663003663003663	0.024831867563372995
ENSTGUG00000006670	0.32	0.01272264631043257	0.006756756756756757	0.003669724770642202	0.008208594881699663
ENSTGUG00000006707	0.68	0.052093023255813956	0.029535864978902954	0.013232514177693762	0.03565830721003135
ENSTGUG00000006724		0.0273972602739726	0.007042253521126761	0.0	0.014285714285714285
ENSTGUG00000006739	0.46153846153846156	0.046460176991150445	0.008130081300813009	0.006024096385542169	0.025329280648429583
ENSTGUG00000006777	0.0	0.01971830985915493	0.007067137809187279	0.0	0.011002444987775062
ENSTGUG00000006788		0.029336734693877552	0.013313609467455622	0.002932551319648094	0.018323153803442533
ENSTGUG00000006844	0.5454545454545454	0.0186219739292365	0.0	0.002544529262086514	0.009028374892519347
ENSTGUG00000006855	0.7377049180327869	0.06168549087749783	0.011213047910295617	0.0	0.030665669409124907
ENSTGUG00000006861	1.0	0.026476578411405296	0.0068143100511073255	0.0036900369003690036	0.013343217197924388
ENSTGUG00000006877	0.4107142857142857	0.01100762066045724	0.0009442870632672333	0.0	0.004975124378109453
ENSTGUG00000006878	1.0	0.016453382084095063	0.003948667324777887	0.002421307506053269	0.009126984126984128
ENSTGUG00000006879	0.5116279069767442	0.012455516014234875	0.005194805194805195	0.0	0.007215007215007215
ENSTGUG00000006882	0.5555555555555556	0.028169014084507043	0.007194244604316547	0.0	0.01440922190201729
ENSTGUG00000006885	0.7692307692307693	0.038619556285949055	0.014505893019038985	0.0075	0.02426470588235294
