Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000004696	0.5	0.09166666666666666	0.014957264957264958	0.023094688221709007	0.044170890658942794
ENSTGUG00000004719	0.5657894736842105	0.08149779735682819	0.04553734061930783	0.020761245674740483	0.04680581910183428
ENSTGUG00000004731	0.6363636363636364	0.06451612903225806	0.049079754601226995	0.005376344086021506	0.037698412698412696
ENSTGUG00000004746	0.7272727272727273	0.012345679012345678	0.011904761904761904	0.0	0.007575757575757576
ENSTGUG00000004760	0.2342007434944238	0.01083815028901734	0.006218905472636816	0.003293084522502744	0.00728363324764353
ENSTGUG00000004803	0.35714285714285715	0.034934497816593885	0.014925373134328358	0.008771929824561403	0.018134715025906734
ENSTGUG00000004832	0.18635170603674542	0.0037313432835820895	0.007272727272727273	0.0	0.003668763102725367
ENSTGUG00000004853	0.7521367521367521	0.06466951973371374	0.0221147201105736	0.014925373134328358	0.03945404137342717
ENSTGUG00000004856	0.04054054054054054	0.006233303650934996	0.0013708019191226869	0.0006684491978609625	0.0024521824423737125
ENSTGUG00000004877	0.5	0.07894736842105263	0.0	0.0	0.0375
ENSTGUG00000004890		0.03012987012987013	0.01366742596810934	0.0029013539651837525	0.018027571580063628
ENSTGUG00000004895	0.7272727272727273	0.03479381443298969	0.008407777193904361	0.0011001100110011	0.01636634154405687
ENSTGUG00000004934	0.4745762711864407	0.01643835616438356	0.010660980810234541	0.0018198362147406734	0.010337871911245588
ENSTGUG00000004945	0.5512820512820513	0.014675052410901468	0.01592356687898089	0.004410143329658214	0.011773100249732429
ENSTGUG00000004947		0.04878048780487805	0.0	0.0	0.020202020202020204
ENSTGUG00000004960	0.4046242774566474	0.013801756587202008	0.003683858004018754	0.0017376194613379669	0.006960830580462482
ENSTGUG00000004993	0.6857142857142857	0.012396694214876033	0.010752688172043012	0.0	0.007911392405063292
ENSTGUG00000004997	0.6099290780141844	0.05806451612903226	0.016175860638739114	0.0023612750885478157	0.029080118694362018
ENSTGUG00000004998	1.0	0.21052631578947367	0.07692307692307693	0.0	0.08955223880597014
ENSTGUG00000005028	0.11450381679389313	0.01252884932410155	0.0028912179255511385	0.0010384215991692627	0.006212787988609888
ENSTGUG00000005059	0.3333333333333333	0.019801980198019802	0.004048582995951417	0.009523809523809525	0.011842105263157895
ENSTGUG00000005062	0.8070175438596491	0.014573991031390135	0.004638833664678595	0.0005688282138794084	0.008029721955896452
ENSTGUG00000005112	0.6703296703296703	0.012569832402234637	0.002044989775051125	0.007509386733416771	0.007301243915630071
ENSTGUG00000005116		0.0	0.0	0.0	0.0
ENSTGUG00000005124	0.16666666666666666	0.04081632653061224	0.0136986301369863	0.0	0.017964071856287425
ENSTGUG00000005133	0.8333333333333334	0.08029197080291971	0.03773584905660377	0.0	0.055445544554455446
ENSTGUG00000005144	0.49333333333333335	0.06744604316546762	0.01945773524720893	0.0018424689083371719	0.03355704697986577
ENSTGUG00000005147	0.5036496350364964	0.05245901639344262	0.025139664804469275	0.00448681996634885	0.031475677885270475
ENSTGUG00000005151	0.36363636363636365	0.03577817531305903	0.0171990171990172	0.016778523489932886	0.02531645569620253
ENSTGUG00000005220	0.6078431372549019	0.05536501714845664	0.020229633679606344	0.007172131147540984	0.03239785390012381
ENSTGUG00000005244	0.3944954128440367	0.03740648379052369	0.022874406560207165	0.006235385814497272	0.026586368977673327
ENSTGUG00000005255	0.2782608695652174	0.06525986713559985	0.017718236819360415	0.001389854065323141	0.03326996197718631
ENSTGUG00000005268	0.1225296442687747	0.03428571428571429	0.008112493239588967	0.0031847133757961785	0.015476881408396209
ENSTGUG00000005326	0.7777777777777778	0.0611065235342692	0.0272938443670151	0.0049261083743842365	0.03579663994729329
ENSTGUG00000005348	0.8214285714285714	0.05898876404494382	0.029333333333333333	0.0	0.035437430786267994
ENSTGUG00000005420	0.17647058823529413	0.049886621315192746	0.00949367088607595	0.0	0.023809523809523808
ENSTGUG00000005437	0.5625	0.030711610486891385	0.006843065693430657	0.0	0.01501315585822628
ENSTGUG00000005496	0.8533333333333334	0.045576407506702415	0.014	0.003766478342749529	0.025283018867924528
ENSTGUG00000005526	0.6331360946745562	0.025693730729701953	0.006101281269066504	0.0045351473922902496	0.014327289008282965
ENSTGUG00000005528	0.5042735042735043	0.06058631921824104	0.012315270935960592	0.010183299389002037	0.0297029702970297
ENSTGUG00000005541	0.25882352941176473	0.04224790753288163	0.013584574934268186	0.0027233115468409588	0.02142749358684171
ENSTGUG00000005579	0.5510204081632653	0.029548989113530325	0.010256410256410256	0.006437768240343348	0.01652892561983471
ENSTGUG00000005582	0.5833333333333334	0.04473007712082262	0.014127764127764128	0.006697923643670462	0.02368732727990525
ENSTGUG00000005618	0.3333333333333333	0.0	0.030303030303030304	0.0	0.008403361344537815
ENSTGUG00000005646	0.5061728395061729	0.06134650376917078	0.01629036867676479	0.002976190476190476	0.03193762016663106
ENSTGUG00000005671	0.30434782608695654	0.011844938980617373	0.006593406593406593	0.000505050505050505	0.006937033084311633
ENSTGUG00000005695	0.1871345029239766	0.04261529480443666	0.013761467889908258	0.001749271137026239	0.019334880123743233
ENSTGUG00000005733	0.7428571428571429	0.011899313501144164	0.004873294346978557	0.0024469820554649264	0.007138934651290499
ENSTGUG00000005742		0.0	0.0	0.0	0.0
ENSTGUG00000005743	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000005745	0.7674418604651163	0.07003610108303249	0.015939597315436243	0.006756756756756757	0.037866834963710946
ENSTGUG00000005778	0.5921052631578947	0.06928838951310862	0.02711864406779661	0.0030075187969924814	0.037075180226570546
ENSTGUG00000005782	0.6428571428571429	0.0619878874242964	0.018615040953090096	0.006073992269464384	0.032174151150054765
ENSTGUG00000005788	0.6938775510204082	0.062381852551984876	0.009917355371900827	0.0	0.021836506159014557
ENSTGUG00000005790	1.0	0.0375	0.06363636363636363	0.0	0.0425531914893617
ENSTGUG00000005826	0.7355072463768116	0.019730269730269732	0.0066982975160480044	0.0033632286995515697	0.011631629495251308
ENSTGUG00000005872	0.7268518518518519	0.0704647676161919	0.028309104820198928	0.005456349206349206	0.03740750890654974
ENSTGUG00000005884	0.6666666666666666	0.0	0.038461538461538464	0.0	0.017543859649122806
ENSTGUG00000005915	0.603448275862069	0.051423324150596875	0.0044964028776978415	0.002902757619738752	0.02179930795847751
ENSTGUG00000005926	0.6923076923076923	0.03278688524590164	0.012567324955116697	0.026905829596412557	0.022870662460567823
ENSTGUG00000005943	0.5128205128205128	0.03617571059431524	0.004775549188156638	0.0033500837520938024	0.01746880570409982
ENSTGUG00000005961	0.6929824561403509	0.03796992481203008	0.013077593722755012	0.0021321961620469083	0.021065870146203428
ENSTGUG00000005983	0.2737226277372263	0.011544011544011544	0.0023501762632197414	0.002533783783783784	0.0053838951310861425
ENSTGUG00000005996	0.09405940594059406	0.0032679738562091504	0.0	0.0	0.0011723329425556857
ENSTGUG00000006045	0.37383177570093457	0.0058823529411764705	0.0	0.005128205128205128	0.003409090909090909
ENSTGUG00000018216	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000006063	0.5632183908045977	0.05327617881200245	0.01980542043085476	0.0032275416890801506	0.029613894789453955
ENSTGUG00000006067	0.5789473684210527	0.03369272237196765	0.01921097770154374	0.0035842293906810036	0.020209488601355515
ENSTGUG00000006075	0.8648648648648649	0.035923467395548615	0.0075723830734966595	0.0033482142857142855	0.019642230796211857
ENSTGUG00000006139	0.21875	0.043010752688172046	0.0	0.028985507246376812	0.02390438247011952
ENSTGUG00000006145		0.0	0.0	0.0	0.0
ENSTGUG00000006166		0.025	0.0	0.0	0.0078125
ENSTGUG00000006169	0.3008130081300813	0.08111792774369461	0.03372549019607843	0.005940594059405941	0.04477611940298507
ENSTGUG00000006274	0.5865384615384616	0.09227409227409228	0.03639344262295082	0.010715816545220747	0.05239885032058368
ENSTGUG00000006375	0.4908256880733945	0.03815113719735877	0.006538796861377506	0.003511852502194908	0.019970774476376036
ENSTGUG00000006431	0.6346153846153846	0.03172460344245697	0.011106703689012296	0.0007132667617689016	0.01786232936392681
ENSTGUG00000006433	0.3238095238095238	0.050809183289424166	0.0125	0.004362050163576881	0.028503562945368172
ENSTGUG00000006438	0.4477124183006536	0.04411764705882353	0.014040561622464899	0.002727768685215494	0.023024955190955466
ENSTGUG00000006442	0.5592417061611374	0.005041648399824638	0.0022222222222222222	0.0018564356435643563	0.0034771937001431786
ENSTGUG00000006502	0.14058956916099774	0.017905102954341987	0.005957446808510639	0.0007739938080495357	0.0078125
ENSTGUG00000006522	0.7885714285714286	0.019751513220770945	0.007584830339321357	0.002105263157894737	0.011882868864054322
ENSTGUG00000006619	0.3852140077821012	0.0056179775280898875	0.0016402405686167304	0.0008084074373484236	0.002888980602558811
ENSTGUG00000006635	0.49206349206349204	0.018631813125695215	0.005268356931182087	0.009232544720138488	0.011833612240019125
ENSTGUG00000006646	0.45549242424242425	0.03490759753593429	0.014834537847090148	0.001454898157129001	0.01782206006174572
ENSTGUG00000006670	0.5335195530726257	0.01847063169560399	0.004446420631391729	0.005668934240362812	0.010416666666666666
ENSTGUG00000006707	0.36363636363636365	0.033012820512820513	0.009782608695652175	0.0012353304508956147	0.01760234697959728
ENSTGUG00000006724	0.2	0.02849740932642487	0.0125	0.0	0.017201834862385322
ENSTGUG00000006739	0.5806451612903226	0.06563706563706563	0.03518728717366629	0.004914004914004914	0.04345955249569707
ENSTGUG00000006777	0.03007518796992481	0.014056224899598393	0.004901960784313725	0.0013908205841446453	0.0075069142631371
ENSTGUG00000006788	1.0	0.05785123966942149	0.011516314779270634	0.0	0.03051643192488263
ENSTGUG00000006844	0.5979381443298969	0.04810324599139617	0.007960199004975124	0.0032502708559046588	0.025865209471766848
ENSTGUG00000006855	0.4090909090909091	0.053593947036569986	0.016129032258064516	0.001336898395721925	0.029204975662520283
