Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000004696	0.6666666666666666	0.05907172995780591	0.0297029702970297	0.010101010101010102	0.03453689167974882
ENSTGUG00000004719	0.5161290322580645	0.03286384976525822	0.029411764705882353	0.022727272727272728	0.027972027972027972
ENSTGUG00000004731	0.0	0.017857142857142856	0.018518518518518517	0.0	0.011834319526627219
ENSTGUG00000004746	0.6666666666666666	0.0	0.0625	0.0	0.01694915254237288
ENSTGUG00000004760	0.30303030303030304	0.012790697674418604	0.0038071065989847717	0.0	0.0063262539539087215
ENSTGUG00000004803	0.46875	0.04294478527607362	0.016666666666666666	0.00980392156862745	0.022587268993839837
ENSTGUG00000004832	0.2403846153846154	0.01078167115902965	0.0041841004184100415	0.0	0.00625
ENSTGUG00000004853	0.7222222222222222	0.05595408895265423	0.025500910746812388	0.007556675062972292	0.03408399269628728
ENSTGUG00000004856	0.04986149584487535	0.006191950464396285	0.008356545961002786	0.004210526315789474	0.006050129645635264
ENSTGUG00000004890		0.0112	0.008389261744966443	0.004705882352941176	0.00850546780072904
ENSTGUG00000004895	0.75	0.038135593220338986	0.006644518272425249	0.005357142857142857	0.01818181818181818
ENSTGUG00000004934	0.34615384615384615	0.01757469244288225	0.0037174721189591076	0.004424778761061947	0.008980115458627326
ENSTGUG00000004945	0.5555555555555556	0.019444444444444445	0.01881720430107527	0.003076923076923077	0.014191106906338695
ENSTGUG00000004960	0.4	0.017075773745997867	0.0068415051311288486	0.0	0.008723235527359239
ENSTGUG00000004993	0.6666666666666666	0.046296296296296294	0.013888888888888888	0.012658227848101266	0.02702702702702703
ENSTGUG00000004997	0.48314606741573035	0.04754601226993865	0.026277372262773723	0.0022026431718061676	0.027917364600781685
ENSTGUG00000004998	0.0	0.16666666666666666	0.0	0.0	0.030303030303030304
ENSTGUG00000005028	0.22666666666666666	0.026905829596412557	0.006756756756756757	0.00546448087431694	0.014169171318162302
