Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
gene:ENSTGUG00000004696	0.6257309941520468	0.06789788158609451	0.022306855277475515	0.004451864218141347	0.03177501826150475
gene:ENSTGUG00000004719	0.4355989485542621	0.06875	0.02908511106223884	0.007447447447447447	0.03651134386912913
gene:ENSTGUG00000004731	0.7241379310344828	0.04730538922155689	0.026299311208515967	0.008481764206955046	0.029464687359424202
gene:ENSTGUG00000004746	0.8367346938775511	0.0440251572327044	0.027972027972027972	0.004366812227074236	0.027611044417767107
gene:ENSTGUG00000004760	0.455078125	0.01874709976798144	0.005474815847103325	0.002778145257309168	0.009795630725863284
gene:ENSTGUG00000004803	0.45997088791848617	0.01894215357715285	0.006429780033840948	0.002370791844476055	0.01047613442410688
gene:ENSTGUG00000004832	0.7807017543859649	0.0950956937799043	0.03028467595396729	0.009900990099009901	0.047076208570825416
gene:ENSTGUG00000004853	0.7857142857142857	0.0	0.0	0.0	0.0
gene:ENSTGUG00000004856	0.4430970149253731	0.08991318726746589	0.035191281643773414	0.011278195488721804	0.04952560922798315
gene:ENSTGUG00000004877	0.6099585062240664	0.05806654111738858	0.019091507570770244	0.004780114722753346	0.03042328042328042
gene:ENSTGUG00000004890	0.4566809029896278	0.03087220246810291	0.010451990523528592	0.003876667868734223	0.016553890768487192
gene:ENSTGUG00000004895	0.5416666666666666	0.04388749042355259	0.015050959943114482	0.0036403925292814183	0.023061147616456702
gene:ENSTGUG00000004934	0.4166666666666667	0.03054662379421222	0.014678899082568808	0.008064516129032258	0.01949317738791423
gene:ENSTGUG00000004945	0.5294117647058824	0.03260869565217391	0.007575757575757576	0.0	0.014905149051490514
gene:ENSTGUG00000004947	0.3898305084745763	0.03477822580645161	0.012112676056338029	0.0054002541296060995	0.0185636602287643
gene:ENSTGUG00000004960	0.6867219917012448	0.021453928075320264	0.00724509630676798	0.003303684879288437	0.012007714801219435
gene:ENSTGUG00000004993	0.46405228758169936	0.029493648860274925	0.011361429403767722	0.004375	0.01648093447905478
gene:ENSTGUG00000004997	0.7844827586206896	0.08571428571428572	0.04712041884816754	0.0	0.04591836734693878
