Window	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
1	0.3813429010763711	0.025265139027668766	0.007915959045966535	0.003255346338568132	0.013347307010691737
2	0.37516094745119727	0.024906163576730398	0.008122232159212128	0.003077965935336644	0.013279943151702972
3	0.37574913735698284	0.024963765920140192	0.00806920482658193	0.00312613572664946	0.013267465924218446
4	0.366358093988014	0.025049493240637422	0.007895229226624443	0.002958967040309383	0.013186256511349826
5	0.3613996765103133	0.024436415992321128	0.00800105570236116	0.003046239969232366	0.013003350450901804
6	0.35959476738467594	0.024409203179744522	0.007916769295490362	0.0030896884525771964	0.012984477280806001
7	0.3482006202270961	0.02425473439047123	0.007972627459458505	0.0032841908549807665	0.01298567862210739
8	0.3392416352141162	0.024332952128243948	0.007868468454453225	0.0031139051651824542	0.012930310864674818
9	0.3209968000366583	0.023943759339321136	0.007632170978627672	0.0030957207399330915	0.012649120495261531
10	0.3173413591191501	0.023857112159957325	0.007973199178216858	0.0033299236076348836	0.012753673776552994
11	0.3087441193792619	0.024066989084115243	0.00805297885706163	0.003184797526769241	0.012808751969336885
12	0.2940832858278966	0.02429895234690791	0.007613689898211532	0.0029251769700848365	0.012645197897595236
13	0.2913254296336739	0.023207386026035007	0.007562160226876584	0.003039099637374819	0.012251195996943272
14	0.2739025309709205	0.02364709305122525	0.007830645459214743	0.003168174595921456	0.012497174522066126
15	0.2719791840239948	0.02325791687340886	0.007715281844219418	0.003073646069573037	0.0123381742666056
16	0.2643391197774478	0.02305636698682815	0.007639930641072525	0.002955288341625425	0.012138517053245288
17	0.25186277750934566	0.024101806881542977	0.008586729784321179	0.0030949916647577264	0.012912863805312773
18	0.25822569597338424	0.023426761933680772	0.007519156098971457	0.003931594035910731	0.012481712812510539
19	0.25626685705219737	0.02371588591573834	0.008201389833292714	0.003710604159352634	0.012740908183409231
20	0.25489954939887055	0.021235580063356966	0.007756984805459531	0.003015169433124325	0.011306001487543266
21	0.41655232878225407	0.019406914848775415	0.006618567216621365	0.002544121833191005	0.010104292706458762
22	0.5301030409173537	0.019746529817329536	0.006320799666108128	0.003109256323534372	0.01039944595862562
23	0.5926893250139199	0.020400079970727694	0.006606168355163522	0.0027171418923014313	0.010727534603845549
24	0.6159379488652686	0.020492206873707487	0.006587887537889933	0.002728414014377706	0.010716950968407536
25	0.6438730622318503	0.021161289035069666	0.006566700379637366	0.002782814306776758	0.01103085250223982
26	0.6446884344527156	0.020319675433383623	0.006734622108669046	0.002678556819111511	0.010741763196966236
27	0.6640487105677766	0.019947018772090715	0.006562793619152923	0.003065992817108342	0.010665820493232293
28	0.6569145148703226	0.020088083799395952	0.006657964425839654	0.002577021939332746	0.010662980523730648
29	0.6599368689030829	0.020685528484656896	0.006830253971711012	0.0025700040824330017	0.010951906880946955
30	0.6817688818773417	0.020787306244366283	0.006700814252248167	0.002698574815175735	0.010959601490315208
31	0.6727968206145921	0.019703155008534066	0.006639774779537025	0.002649039163290936	0.010526303606157911
32	0.6796406881046603	0.020225615194921033	0.006853689554577526	0.002579421750178881	0.010753527733376561
33	0.6701587771152856	0.020274354897479214	0.006695771987676683	0.002734982650362316	0.010756449121221867
34	0.6725346506949437	0.019941055290447488	0.006672659094795764	0.0026314796141215548	0.010588054084687604
35	0.6900757034319193	0.01934612122314077	0.006629983585340446	0.00258246212710082	0.010325755826408229
36	0.6904854368932039	0.01968818665117356	0.006477962171552497	0.002637477284665946	0.010426728847646043
37	0.6851391325935932	0.019484377773147828	0.006640547852087285	0.002721056130686675	0.010411157754578734
38	0.6864961288232293	0.01955180668100528	0.006254818355783649	0.0024839783929227503	0.010218133825157287
39	0.6881089885036306	0.018706759054158095	0.006263308479157117	0.0025192032405866377	0.009925257375461892
40	0.6866873756899904	0.01987523379794135	0.006412823521210024	0.0026091137853928442	0.010582601659400248
41	0.5759325611567859	0.021664545057962826	0.006980591120411932	0.00313206058504979	0.011576999703737528
42	0.5666700976239302	0.02212795777353578	0.006850347197198087	0.0028834893999236107	0.011884096174876787
43	0.5653935720350739	0.022734310399390213	0.007160229075877479	0.0029676719383656576	0.012281581112847413
44	0.5507122292682008	0.023052715608531178	0.007232540010088504	0.0029271938962638186	0.012412369984479919
45	0.5331365053915866	0.023107312979967713	0.00691753431894989	0.0029794971611239664	0.01233639999959897
46	0.5225664748872648	0.023565155795277067	0.007011085638801017	0.00303360634398228	0.012555549633390018
47	0.5206955096305836	0.023223440533115158	0.007260548910688653	0.0029752432088343966	0.012484540461447964
48	0.5158343953964392	0.023610763790797573	0.007309016346151205	0.0029203524101448423	0.012613470994725524
49	0.5135657262990426	0.02345181322409805	0.007307273731549521	0.0030211357076204443	0.012544282710890007
50	0.512221193582561	0.023686301990309102	0.007433992690333798	0.002999044625673262	0.012729824993788287
51	0.49702594040865783	0.023641385946713257	0.0075023946250406745	0.0028320212373882225	0.012711079396506815
52	0.50076334456629	0.0240193098269659	0.0074544907197490575	0.002980001493457825	0.012858818141164295
53	0.49217236152945915	0.02411811795854574	0.0073152794440461905	0.0029442382453935254	0.012796690579827965
54	0.49469947805841546	0.024225860607428148	0.00750448311865867	0.0029927414541300805	0.012940043081224227
