gene	FCH1	FCH2	FCH3	FTH1	FTH2	FTH3	FCNT1	FCNT2	FCNT3	FTNT1	FTNT2	FTNT3	MCH1	MCH2	MCH3	MTH1	MTH2	MTH3	MCNT1	MCNT2	MCNT3	MTNT1	MTNT2	MTNT3
gene:ENSTGUG00000000104	0	0	1.16239	2.06964	1.04524	0	1.08439	3.25616	0	3.91115	0	0	0	1.07925	1.84407	2.06149	1.56682	1.21364	1.12734	0	0	0	0.508826	0
gene:ENSTGUG00000000105	12.5902	17.9048	15.4257	10.6094	16.344	15.6596	13.4239	15.9535	12.3486	11.189	10.6603	15.3163	13.3245	12.8806	10.2643	15.3102	15.9949	6.78853	15.0564	14.5219	8.21362	16.1542	41.5153	9.56334
gene:ENSTGUG00000000107	0.167439	0.593115	0.422305	0.360909	0.638434	0.235042	0.489145	4.32307	0.887261	2.45212	2.64377	1.75492	0.697646	1.12697	1.30325	2.432	2.93124	0.650005	0.261734	2.26611	3.23645	3.28607	1.53987	1.04243
gene:ENSTGUG00000000108	59.7196	17.4076	48.5327	44.4143	19.6896	0.435169	32.7778	30.8146	107.793	40.7487	39.178	21.3071	48.5987	51.3808	34.6394	20.7125	21.3455	21.8454	34.7084	18.9901	29.6869	30.9186	31.0436	32.444
gene:ENSTGUG00000000109	74.9628	21.1305	63.8598	57.0314	26.1018	1.20432	46.706	43.5821	98.8451	44.473	43.149	25.1408	62.1417	51.7348	48.3051	22.4773	29.4712	24.521	42.0699	22.8648	34.6601	34.5579	37.0726	50.5305
gene:ENSTGUG00000000110	459.57	206.634	449.613	464.841	166.207	27.6892	277.436	229.934	931.119	240.684	185.372	160.048	375.927	367.309	221.959	218.063	232.998	204.134	291.195	176.292	218.998	318.507	269.301	227.261
gene:ENSTGUG00000000112	77.2638	101.605	77.6164	89.6612	49.5794	6.5795	87.5583	105.366	84.7033	86.6478	79.245	66.7232	87.7044	97.1635	104.079	75.0391	108.047	78.3988	93.1045	103.747	86.9953	51.3537	103.611	123.268
gene:ENSTGUG00000000113	61.3899	40.8488	64.2999	50.4669	46.7591	102.152	42.3687	48.2818	72.2604	55.6114	52.7896	48.2462	70.358	63.1285	83.5596	37.7022	62.909	61.2589	54.4826	56.8168	82.1473	55.1723	67.352	81.4652
gene:ENSTGUG00000000114	164.55	99.4975	115.524	111.381	114.943	409.808	151.46	122.121	175.678	193.014	169.635	170.477	262.655	272.532	296.325	230.271	365.367	208.404	217.864	288.856	319.957	229.477	306.045	426.431
gene:ENSTGUG00000000115	112.438	109.42	109.376	84.7209	51.7054	0	45.0681	178.036	188.17	60.2681	50.5284	62.6517	55.9433	49.416	44.5713	83.8703	90.9305	49.3576	69.8661	128.541	58.7967	92.4696	186.506	82.2561
gene:ENSTGUG00000000116	22.4379	19.4732	22.8971	24.9364	10.7466	0.780521	9.11874	42.0888	39.795	20.5203	16.46	15.8176	17.2124	19.6336	10.1385	13.78	17.9818	9.04261	13.5584	27.8645	11.7097	10.6321	26.7232	19.4992
gene:ENSTGUG00000000117	14.4735	17.1751	14.8546	20.2414	15.7462	24.4639	17.7005	11.8191	14.8123	13.9295	14.0344	16.5918	16.8418	17.5604	16.3435	12.0168	18.505	13.9738	20.2075	16.786	16.4864	10.2727	36.7375	16.5732
gene:ENSTGUG00000000118	43.2891	46.366	38.0548	29.2191	55.5784	71.4422	39.1459	37.5387	34.1543	39.9394	46.1502	35.6518	48.8604	38.21	40.1321	47.3784	34.5393	43.5878	54.6567	47.1389	52.8513	49.7804	49.5163	35.5921
gene:ENSTGUG00000000119	18.7659	26.9956	28.4051	26.0484	14.2762	1.48339	28.9647	33.6637	25.3643	32.3753	29.2575	32.1336	22.3215	31.0135	37.2736	18.9948	32.8353	24.076	24.3336	30.4538	24.9184	13.3957	24.5184	41.2334
gene:ENSTGUG00000000120	34.185	35.4406	30.146	23.903	42.2685	48.8277	47.1665	40.8342	24.3904	31.6724	52.9046	38.7112	47.105	38.238	46.0584	57.4198	39.8663	49.296	42.2412	40.1582	40.7721	60.6397	64.9888	46.253
gene:ENSTGUG00000000121	115.266	93.7366	93.1977	76.308	81.3999	184.461	100.966	83.1528	129.513	93.4024	76.0815	89.504	94.5267	93.6791	89.8569	68.7047	97.7065	81.9941	85.0937	80.0297	69.8584	73.9062	126.347	104.824
gene:ENSTGUG00000000122	0.159704	26.1372	1.1109	6.96852	7.54453	0	27.5504	2.79342	0.28157	15.9445	5.84602	6.17352	0.701191	18.2684	29.8582	9.92286	8.86666	16.3172	0.0916353	8.76532	6.04859	0.127018	1.08374	15.4241
gene:ENSTGUG00000000123	0.888824	69.3607	12.1361	21.2559	18.6021	1.80056	58.1782	61.0228	3.30633	100.267	99.8927	67.8612	1.73574	33.0281	52.6419	52.0315	114.49	42.0676	1.83783	42.0974	60.6568	34.1622	10.0895	83.9488
gene:ENSTGUG00000000124	77.6343	0	32.5855	11.0154	0	44.1291	55.7046	0	20.0415	47.6134	0	54.764	49.4221	53.7965	45.9451	22.9543	24.1075	12.2472	43.4398	53.5111	22.0684	14.8912	11.8742	26.804
gene:ENSTGUG00000000125	0.299029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.939621	0	0	0	0.257735	0.407782	0
gene:ENSTGUG00000000126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
