gene	FCH1	FCH2	FCH3	FTH1	FTH2	FTH3	FCNT1	FCNT2	FCNT3	FTNT1	FTNT2	FTNT3	MCH1	MCH2	MCH3	MTH1	MTH2	MTH3	MCNT1	MCNT2	MCNT3	MTNT1	MTNT2	MTNT3
gene:ENSTGUG00000000038	85.3882	62.6274	76.9646	67.7134	74.1812	83.1221	83.9359	81.2587	90.9398	96.2483	94.2094	80.7219	62.1596	103.645	70.8284	78.2524	75.3159	67.8211	56.8827	100.664	69.4296	75.1366	55.115	91.6667
gene:ENSTGUG00000000039	128.709	96.2979	174.354	131.848	115.587	79.4691	108.291	154.462	160.032	155.798	163.591	171.317	102.401	133.008	136.492	116.232	118.273	124.607	92.5547	95.6189	108.846	116.249	80.3838	138.628
gene:ENSTGUG00000000040	18.8905	20.5907	33.1132	32.6188	28.8038	12.5021	23.3001	33.0367	21.3216	42.9724	45.4433	34.6533	17.5686	26.2729	27.5005	29.9974	23.4655	25.7324	22.2411	28.9665	30.6516	23.9926	16.3069	32.8568
gene:ENSTGUG00000000041	5.9026	3.85971	8.01594	4.58836	3.33263	2.27055	1.58119	5.48982	4.26668	3.27785	2.55222	4.40577	4.90714	2.48121	3.32918	5.43645	3.88786	3.74674	8.14143	4.41678	4.21879	5.42813	8.13441	3.26456
gene:ENSTGUG00000000042	55.0863	60.6449	51.943	48.3166	44.504	54.0912	60.8553	49.792	53.1638	52.6149	55.236	54.7274	44.8166	53.729	66.7348	46.9057	69.9819	54.0451	46.895	54.5521	63.3654	50.3158	62.7644	55.297
gene:ENSTGUG00000000043	67.9409	64.0061	59.4219	56.7553	69.4566	235.92	73.5126	36.8114	62.5103	47.1692	59.0685	61.2651	164.795	112.405	115.48	189.424	120.678	138.555	143.403	123.707	159.781	133.218	106.134	123.945
gene:ENSTGUG00000000044	373.01	268.234	361.527	180.194	318.966	662.535	396.337	229.561	440.088	262.19	311.907	248.619	557.236	639.772	693.888	513.323	658.086	492.18	525.016	506.679	643.681	499.844	1205.69	675.198
gene:ENSTGUG00000000045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSTGUG00000000046	133.144	132.198	116.778	116.034	88.2066	125.202	152.308	117.228	155.572	134.161	123.153	128.31	121.845	131.94	145.602	105.714	132.302	120.545	106.736	109.792	112.36	109.908	135.403	158.816
gene:ENSTGUG00000000047	124.088	56.1663	136.682	104.243	84.086	72.0512	31.7578	36.1975	83.3906	34.9902	58.091	98.1337	74.5041	67.7276	74.8705	19.0656	49.9911	60.1045	46.6315	31.5639	48.2814	47.1652	38.6378	26.561
